t	xt
-5	7.38906-9.04898e-15i
-4.999	7.38596-0.0464079i
-4.998	7.38256-0.0927769i
-4.997	7.37888-0.139105i
-4.996	7.37491-0.185391i
-4.995	7.37065-0.231632i
-4.994	7.36611-0.277827i
-4.993	7.36127-0.323974i
-4.992	7.35615-0.370072i
-4.991	7.35073-0.416118i
-4.99	7.34504-0.462111i
-4.989	7.33905-0.508048i
-4.988	7.33278-0.553929i
-4.987	7.32622-0.599751i
-4.986	7.31938-0.645512i
-4.985	7.31226-0.691212i
-4.984	7.30485-0.736847i
-4.983	7.29715-0.782417i
-4.982	7.28918-0.82792i
-4.981	7.28092-0.873353i
-4.98	7.27238-0.918715i
-4.979	7.26356-0.964005i
-4.978	7.25445-1.00922i
-4.977	7.24507-1.05436i
-4.976	7.23541-1.09942i
-4.975	7.22547-1.1444i
-4.974	7.21525-1.1893i
-4.973	7.20475-1.23412i
-4.972	7.19398-1.27885i
-4.971	7.18292-1.3235i
-4.97	7.1716-1.36806i
-4.969	7.16-1.41252i
-4.968	7.14812-1.4569i
-4.967	7.13597-1.50118i
-4.966	7.12355-1.54537i
-4.965	7.11085-1.58946i
-4.964	7.09788-1.63346i
-4.963	7.08465-1.67735i
-4.962	7.07114-1.72114i
-4.961	7.05736-1.76483i
-4.96	7.04332-1.80842i
-4.959	7.029-1.85189i
-4.958	7.01442-1.89526i
-4.957	6.99957-1.93852i
-4.956	6.98446-1.98167i
-4.955	6.96908-2.02471i
-4.954	6.95344-2.06763i
-4.953	6.93754-2.11043i
-4.952	6.92137-2.15312i
-4.951	6.90495-2.19568i
-4.95	6.88826-2.23813i
-4.949	6.87131-2.28045i
-4.948	6.8541-2.32265i
-4.947	6.83664-2.36473i
-4.946	6.81892-2.40667i
-4.945	6.80094-2.44849i
-4.944	6.78271-2.49018i
-4.943	6.76422-2.53173i
-4.942	6.74548-2.57315i
-4.941	6.72649-2.61444i
-4.94	6.70725-2.65559i
-4.939	6.68776-2.6966i
-4.938	6.66801-2.73747i
-4.937	6.64802-2.7782i
-4.936	6.62778-2.81879i
-4.935	6.6073-2.85923i
-4.934	6.58657-2.89953i
-4.933	6.56559-2.93968i
-4.932	6.54437-2.97968i
-4.931	6.52291-3.01954i
-4.93	6.50121-3.05924i
-4.929	6.47927-3.09879i
-4.928	6.45709-3.13818i
-4.927	6.43467-3.17742i
-4.926	6.41201-3.2165i
-4.925	6.38912-3.25542i
-4.924	6.36599-3.29418i
-4.923	6.34263-3.33278i
-4.922	6.31904-3.37122i
-4.921	6.29521-3.40949i
-4.92	6.27116-3.4476i
-4.919	6.24687-3.48554i
-4.918	6.22236-3.52331i
-4.917	6.19762-3.56091i
-4.916	6.17265-3.59834i
-4.915	6.14746-3.6356i
-4.914	6.12205-3.67268i
-4.913	6.09641-3.70959i
-4.912	6.07056-3.74633i
-4.911	6.04448-3.78288i
-4.91	6.01818-3.81926i
-4.909	5.99167-3.85545i
-4.908	5.96494-3.89146i
-4.907	5.938-3.9273i
-4.906	5.91084-3.96294i
-4.905	5.88347-3.9984i
-4.904	5.85589-4.03368i
-4.903	5.8281-4.06876i
-4.902	5.8001-4.10366i
-4.901	5.77189-4.13837i
-4.9	5.74348-4.17288i
-4.899	5.71486-4.2072i
-4.898	5.68604-4.24133i
-4.897	5.65701-4.27526i
-4.896	5.62779-4.309i
-4.895	5.59836-4.34253i
-4.894	5.56874-4.37587i
-4.893	5.53892-4.40901i
-4.892	5.5089-4.44195i
-4.891	5.47869-4.47468i
-4.89	5.44829-4.50722i
-4.889	5.41769-4.53954i
-4.888	5.38691-4.57167i
-4.887	5.35594-4.60358i
-4.886	5.32477-4.63529i
-4.885	5.29343-4.66678i
-4.884	5.2619-4.69807i
-4.883	5.23018-4.72915i
-4.882	5.19828-4.76001i
-4.881	5.16621-4.79066i
-4.88	5.13395-4.8211i
-4.879	5.10152-4.85132i
-4.878	5.06891-4.88133i
-4.877	5.03612-4.91111i
-4.876	5.00316-4.94068i
-4.875	4.97003-4.97003i
-4.874	4.93673-4.99916i
-4.873	4.90326-5.02807i
-4.872	4.86963-5.05676i
-4.871	4.83582-5.08522i
-4.87	4.80185-5.11346i
-4.869	4.76772-5.14147i
-4.868	4.73343-5.16926i
-4.867	4.69898-5.19681i
-4.866	4.66437-5.22415i
-4.865	4.6296-5.25125i
-4.864	4.59468-5.27812i
-4.863	4.5596-5.30476i
-4.862	4.52437-5.33118i
-4.861	4.48898-5.35735i
-4.86	4.45345-5.3833i
-4.859	4.41777-5.40901i
-4.858	4.38195-5.43449i
-4.857	4.34598-5.45973i
-4.856	4.30986-5.48473i
-4.855	4.27361-5.5095i
-4.854	4.23721-5.53403i
-4.853	4.20067-5.55832i
-4.852	4.164-5.58237i
-4.851	4.12719-5.60618i
-4.85	4.09025-5.62975i
-4.849	4.05318-5.65307i
-4.848	4.01597-5.67616i
-4.847	3.97864-5.699i
-4.846	3.94117-5.7216i
-4.845	3.90358-5.74395i
-4.844	3.86587-5.76605i
-4.843	3.82803-5.78792i
-4.842	3.79007-5.80953i
-4.841	3.752-5.83089i
-4.84	3.7138-5.85201i
