n	xn
-20	3.17388e-17
-19	0.0444321
-18	0.0919519
-17	0.134558
-16	0.163122
-15	0.168789
-14	0.144688
-13	0.0877012
-12	-4.71504e-17
-11	-0.110012
-10	-0.227669
-9	-0.33316
-8	-0.403883
-7	-0.417916
-6	-0.358242
-5	-0.217145
-4	3.89143e-17
-3	0.272387
-2	0.563701
-1	0.824892
0	1
1	1.03475
2	0.886995
3	0.537643
4	9.63503e-17
5	-0.674419
6	-1.3957
7	-2.0424
8	-2.47596
9	-2.56199
10	-2.19617
11	-1.33118
12	-7.15679e-16
13	1.66984
14	3.45571
15	5.05692
16	6.13039
17	6.34339
18	5.43763
19	3.29596
20	2.95333e-15
