n	xn
-20	1.62254e-15
-19	1.86583
-18	3.17179
-17	3.81261
-16	3.7966
-15	3.22699
-14	2.27225
-13	1.13135
-12	-4.9963e-16
-11	-0.957577
-10	-1.62782
-9	-1.9567
-8	-1.94849
-7	-1.65615
-6	-1.16616
-5	-0.580631
-4	8.54731e-17
-3	0.491446
-2	0.835429
-1	1.00422
0	1
1	0.849969
2	0.598495
3	0.297991
4	4.38664e-17
5	-0.25222
6	-0.428758
7	-0.515383
8	-0.513219
9	-0.43622
10	-0.307159
11	-0.152935
12	-6.75392e-17
13	0.129444
14	0.220047
15	0.264504
16	0.263394
17	0.223876
18	0.15764
19	0.0784889
20	5.77707e-17
