n	xn
-37.6991	1
-36.6991	0.986143
-35.6991	0.944957
-34.6991	0.877583
-33.6991	0.785887
-32.6991	0.672412
-31.6991	0.540302
-30.6991	0.393219
-29.6991	0.235238
-28.6991	0.0707372
-27.6991	-0.0957235
-26.6991	-0.259531
-25.6991	-0.416147
-24.6991	-0.561229
-23.6991	-0.690758
-22.6991	-0.801144
-21.6991	-0.889327
-20.6991	-0.952863
-19.6991	-0.989992
-18.6991	-0.999686
-17.6991	-0.981674
-16.6991	-0.936457
-15.6991	-0.865287
-14.6991	-0.770137
-13.6991	-0.653644
-12.6991	-0.519036
-11.6991	-0.370043
-10.6991	-0.210796
-9.69911	-0.0457064
-8.69911	0.12065
-7.69911	0.283662
-6.69911	0.438813
-5.69911	0.581803
-4.69911	0.70867
-3.69911	0.815896
-2.69911	0.900511
-1.69911	0.96017
-0.699112	0.993219
0.300888	0.998743
1.30089	0.976588
2.30089	0.927368
3.30089	0.852447
4.30089	0.753902
5.30089	0.634464
6.30089	0.497443
7.30089	0.346635
8.30089	0.186222
9.30089	0.0206468
10.3009	-0.1455
11.3009	-0.307615
12.3009	-0.461204
13.3009	-0.602012
14.3009	-0.726136
15.3009	-0.830136
16.3009	-0.91113
17.3009	-0.966874
18.3009	-0.995822
19.3009	-0.997172
20.3009	-0.970887
21.3009	-0.917696
22.3009	-0.839072
23.3009	-0.737194
24.3009	-0.614886
25.3009	-0.475537
26.3009	-0.323009
27.3009	-0.16153
28.3009	0.0044257
29.3009	0.170259
30.3009	0.331374
31.3009	0.483305
32.3009	0.621842
33.3009	0.743145
34.3009	0.843854
35.3009	0.921176
36.3009	0.972969
37.3009	0.997798
