n	xn
-32	1
-31	0.92388
-30	0.707107
-29	0.382683
-28	-4.28626e-16
-27	-0.382683
-26	-0.707107
-25	-0.92388
-24	-1
-23	-0.92388
-22	-0.707107
-21	-0.382683
-20	3.06162e-16
-19	0.382683
-18	0.707107
-17	0.92388
-16	1
-15	0.92388
-14	0.707107
-13	0.382683
-12	-1.83697e-16
-11	-0.382683
-10	-0.707107
-9	-0.92388
-8	-1
-7	-0.92388
-6	-0.707107
-5	-0.382683
-4	6.12323e-17
-3	0.382683
-2	0.707107
-1	0.92388
0	1
1	0.92388
2	0.707107
3	0.382683
4	6.12323e-17
5	-0.382683
6	-0.707107
7	-0.92388
8	-1
9	-0.92388
10	-0.707107
11	-0.382683
12	-1.83697e-16
13	0.382683
14	0.707107
15	0.92388
16	1
17	0.92388
18	0.707107
19	0.382683
20	3.06162e-16
21	-0.382683
22	-0.707107
23	-0.92388
24	-1
25	-0.92388
26	-0.707107
27	-0.382683
28	-4.28626e-16
29	0.382683
30	0.707107
31	0.92388
32	1
