n	xn
-32	5.51091e-16
-31	0.382683
-30	0.707107
-29	0.92388
-28	1
-27	0.92388
-26	0.707107
-25	0.382683
-24	-4.28626e-16
-23	-0.382683
-22	-0.707107
-21	-0.92388
-20	-1
-19	-0.92388
-18	-0.707107
-17	-0.382683
-16	3.06162e-16
-15	0.382683
-14	0.707107
-13	0.92388
-12	1
-11	0.92388
-10	0.707107
-9	0.382683
-8	-1.83697e-16
-7	-0.382683
-6	-0.707107
-5	-0.92388
-4	-1
-3	-0.92388
-2	-0.707107
-1	-0.382683
0	6.12323e-17
1	0.382683
2	0.707107
3	0.92388
4	1
5	0.92388
6	0.707107
7	0.382683
8	6.12323e-17
9	-0.382683
10	-0.707107
11	-0.92388
12	-1
13	-0.92388
14	-0.707107
15	-0.382683
16	-1.83697e-16
17	0.382683
18	0.707107
19	0.92388
20	1
21	0.92388
22	0.707107
23	0.382683
24	3.06162e-16
25	-0.382683
26	-0.707107
27	-0.92388
28	-1
29	-0.92388
30	-0.707107
31	-0.382683
32	-4.28626e-16
