n	xn
-18.8496	-7.79634e-17
-18.0642	-0.0782884
-17.2788	-0.115749
-16.4934	-0.0857444
-15.708	7.79634e-17
-14.9226	0.0947701
-14.1372	0.141471
-13.3518	0.10592
-12.5664	-7.79634e-17
-11.781	-0.120042
-10.9956	-0.181891
-10.2102	-0.13851
-9.42478	7.79634e-17
-8.63938	0.163694
-7.85398	0.254648
-7.06858	0.20007
-6.28319	-7.79634e-17
-5.49779	-0.257233
-4.71239	-0.424413
-3.92699	-0.360127
-3.14159	7.79634e-17
-2.35619	0.600211
-1.5708	1.27324
-0.785398	1.80063
0	2
0.785398	1.80063
1.5708	1.27324
2.35619	0.600211
3.14159	7.79634e-17
3.92699	-0.360127
4.71239	-0.424413
5.49779	-0.257233
6.28319	-7.79634e-17
7.06858	0.20007
7.85398	0.254648
8.63938	0.163694
9.42478	7.79634e-17
10.2102	-0.13851
10.9956	-0.181891
11.781	-0.120042
12.5664	-7.79634e-17
13.3518	0.10592
14.1372	0.141471
14.9226	0.0947701
15.708	7.79634e-17
16.4934	-0.0857444
17.2788	-0.115749
18.0642	-0.0782884
18.8496	-7.79634e-17
