n	xn
-18.8496	-7.79634e-17
-18.6925	-0.0167377
-18.5354	-0.0333434
-18.3783	-0.049405
-18.2212	-0.0645165
-18.0642	-0.0782884
-17.9071	-0.0903572
-17.75	-0.100395
-17.5929	-0.108118
-17.4358	-0.113294
-17.2788	-0.115749
-17.1217	-0.115373
-16.9646	-0.112122
-16.8075	-0.106025
-16.6504	-0.0971766
-16.4934	-0.0857444
-16.3363	-0.0719607
-16.1792	-0.0561203
-16.0221	-0.0385738
-15.865	-0.0197206
-15.708	7.79634e-17
-15.5509	0.020119
-15.3938	0.0401482
-15.2367	0.0595916
-15.0796	0.0779574
-14.9226	0.0947701
-14.7655	0.109582
-14.6084	0.121985
-14.4513	0.131622
-14.2942	0.138194
-14.1372	0.141471
-13.9801	0.141299
-13.823	0.137605
-13.6659	0.130398
-13.5088	0.119776
-13.3518	0.10592
-13.1947	0.0890942
-13.0376	0.0696432
-12.8805	0.047982
-12.7235	0.0245899
-12.5664	-7.79634e-17
-12.4093	-0.0252125
-12.2522	-0.0504426
-12.0951	-0.07507
-11.9381	-0.0984726
-11.781	-0.120042
-11.6239	-0.139199
-11.4668	-0.155406
-11.3097	-0.168184
-11.1527	-0.177122
-10.9956	-0.181891
-10.8385	-0.182256
-10.6814	-0.178077
-10.5243	-0.169323
-10.3673	-0.156072
-10.2102	-0.13851
-10.0531	-0.116936
-9.89602	-0.0917522
-9.73894	-0.0634601
-9.58186	-0.0326522
-9.42478	7.79634e-17
-9.2677	0.0337591
-9.11062	0.0678367
-8.95354	0.10141
-8.79646	0.133641
-8.63938	0.163694
-8.4823	0.190754
-8.32522	0.21405
-8.16814	0.23287
-8.01106	0.246581
-7.85398	0.254648
-7.6969	0.256646
-7.53982	0.252276
-7.38274	0.241375
-7.22566	0.223929
-7.06858	0.20007
-6.9115	0.170089
-6.75442	0.134428
-6.59734	0.0936792
-6.44026	0.0485801
-6.28319	-7.79634e-17
-6.12611	-0.0510714
-5.96903	-0.10354
-5.81195	-0.156227
-5.65487	-0.207887
-5.49779	-0.257233
-5.34071	-0.302962
-5.18363	-0.343777
-5.02655	-0.378413
-4.86947	-0.405666
-4.71239	-0.424413
-4.55531	-0.433643
-4.39823	-0.432472
-4.24115	-0.420172
-4.08407	-0.396182
-3.92699	-0.360127
-3.76991	-0.31183
-3.61283	-0.251321
-3.45575	-0.178842
-3.29867	-0.0948469
-3.14159	7.79634e-17
-2.98451	0.104831
-2.82743	0.218585
-2.67035	0.340023
-2.51327	0.467745
-2.35619	0.600211
-2.19911	0.735766
-2.04204	0.872665
-1.88496	1.0091
-1.72788	1.14324
-1.5708	1.27324
-1.41372	1.39729
-1.25664	1.51365
-1.09956	1.62066
-0.942478	1.71679
-0.785398	1.80063
-0.628319	1.87098
-0.471239	1.9268
-0.314159	1.96726
-0.15708	1.99179
0	2
0.15708	1.99179
0.314159	1.96726
0.471239	1.9268
0.628319	1.87098
0.785398	1.80063
0.942478	1.71679
1.09956	1.62066
1.25664	1.51365
1.41372	1.39729
1.5708	1.27324
1.72788	1.14324
1.88496	1.0091
2.04204	0.872665
2.19911	0.735766
2.35619	0.600211
2.51327	0.467745
2.67035	0.340023
2.82743	0.218585
2.98451	0.104831
3.14159	7.79634e-17
3.29867	-0.0948469
3.45575	-0.178842
3.61283	-0.251321
3.76991	-0.31183
3.92699	-0.360127
4.08407	-0.396182
4.24115	-0.420172
4.39823	-0.432472
4.55531	-0.433643
4.71239	-0.424413
4.86947	-0.405666
5.02655	-0.378413
5.18363	-0.343777
5.34071	-0.302962
5.49779	-0.257233
5.65487	-0.207887
5.81195	-0.156227
5.96903	-0.10354
6.12611	-0.0510714
6.28319	-7.79634e-17
6.44026	0.0485801
6.59734	0.0936792
6.75442	0.134428
6.9115	0.170089
7.06858	0.20007
7.22566	0.223929
7.38274	0.241375
7.53982	0.252276
7.6969	0.256646
7.85398	0.254648
8.01106	0.246581
8.16814	0.23287
8.32522	0.21405
8.4823	0.190754
8.63938	0.163694
8.79646	0.133641
8.95354	0.10141
9.11062	0.0678367
9.2677	0.0337591
9.42478	7.79634e-17
9.58186	-0.0326522
9.73894	-0.0634601
9.89602	-0.0917522
10.0531	-0.116936
10.2102	-0.13851
10.3673	-0.156072
10.5243	-0.169323
10.6814	-0.178077
10.8385	-0.182256
10.9956	-0.181891
11.1527	-0.177122
11.3097	-0.168184
11.4668	-0.155406
11.6239	-0.139199
11.781	-0.120042
11.9381	-0.0984726
12.0951	-0.07507
12.2522	-0.0504426
12.4093	-0.0252125
12.5664	-7.79634e-17
12.7235	0.0245899
12.8805	0.047982
13.0376	0.0696432
13.1947	0.0890942
13.3518	0.10592
13.5088	0.119776
13.6659	0.130398
13.823	0.137605
13.9801	0.141299
14.1372	0.141471
14.2942	0.138194
14.4513	0.131622
14.6084	0.121985
14.7655	0.109582
14.9226	0.0947701
15.0796	0.0779574
15.2367	0.0595916
15.3938	0.0401482
15.5509	0.020119
15.708	7.79634e-17
15.865	-0.0197206
16.0221	-0.0385738
16.1792	-0.0561203
16.3363	-0.0719607
16.4934	-0.0857444
16.6504	-0.0971766
16.8075	-0.106025
16.9646	-0.112122
17.1217	-0.115373
17.2788	-0.115749
17.4358	-0.113294
17.5929	-0.108118
17.75	-0.100395
17.9071	-0.0903572
18.0642	-0.0782884
18.2212	-0.0645165
18.3783	-0.049405
18.5354	-0.0333434
18.6925	-0.0167377
18.8496	-7.79634e-17
