%% LaTeX2e file `example52data.dat'
%% generated by the `filecontents' environment
%% from source `"g Signals and Systems Discrete Time Fourier Series"' on 2021/03/15.
%%
o reak akmag imak argak
-15 0 0 0 0
-14 0 0 0 0
-13 0 0 0 0
-12 0 0.5 -0.5 -1.57
-11 1.5 1.581 0.5 0.32
-10 1 1 0 0
-9 1.5 1.581 -0.5 -0.32
-8 0 0.5 0.5 1.57
-7 0 0 0 0
-6 0 0 0 0
-5 0 0 0 0
-4 0 0 0 0
-3 0 0 0 0
-2 0 0.5 -0.5 -1.57
-1 1.5 1.581 0.5 0.32
0  1 1 0 0
1 1.5 1.581 -0.5 -0.32
2 0 0.5 0.5 1.57
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0.5 -0.5 -1.57
9 1.5 1.581 0.5 0.32
10  1 1 0 0
11 1.5 1.581 -0.5 -0.32
12 0 0.5 0.5 1.57
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
