o	xo
-3.14159	1
-3.04159	0.970125
-2.94159	0.881989
-2.84159	0.739998
-2.74159	0.551291
-2.64159	0.325439
-2.54159	0.0740443
-2.44159	-0.18975
-2.34159	-0.451812
-2.24159	-0.697624
-2.14159	-0.912898
-2.04159	-1.08419
-1.94159	-1.1995
-1.84159	-1.24878
-1.74159	-1.22438
-1.64159	-1.12146
-1.54159	-0.938191
-1.44159	-0.675907
-1.34159	-0.339113
-1.24159	0.0646437
-1.14159	0.525006
-1.04159	1.02917
-0.941593	1.56234
-0.841593	2.10825
-0.741593	2.64979
-0.641593	3.16961
-0.541593	3.65081
-0.441593	4.07753
-0.341593	4.43558
-0.241593	4.71296
-0.141593	4.90033
-0.0415927	4.99135
0.0584073	4.98296
0.158407	4.87542
0.258407	4.67239
0.358407	4.38072
0.458407	4.01022
0.558407	3.57329
0.658407	3.08446
0.758407	2.55978
0.858407	2.01629
0.958407	1.47134
1.05841	0.941944
1.15841	0.444158
1.25841	-0.00752029
1.35841	-0.400669
1.45841	-0.725382
1.55841	-0.974609
1.65841	-1.14437
1.75841	-1.23388
1.85841	-1.24547
1.95841	-1.18449
2.05841	-1.059
2.15841	-0.879425
2.25841	-0.658046
2.35841	-0.408488
2.45841	-0.145122
2.55841	0.117556
2.65841	0.36554
2.75841	0.585908
2.85841	0.767367
2.95841	0.90073
3.05841	0.9793
3.15841	0.999152
3.25841	0.959295
3.35841	0.861718
3.45841	0.711303
3.55841	0.51562
3.65841	0.284613
3.75841	0.0301796
3.85841	-0.23433
3.95841	-0.494677
4.05841	-0.736337
4.15841	-0.945125
4.25841	-1.1078
4.35841	-1.21265
4.45841	-1.24999
4.55841	-1.21265
4.65841	-1.09627
4.75841	-0.899531
4.85841	-0.624319
4.95841	-0.275657
5.05841	0.138414
5.15841	0.607098
5.25841	1.11722
5.35841	1.6537
5.45841	2.20008
5.55841	2.73918
5.65841	3.25367
5.75841	3.72678
5.85841	4.14289
5.95841	4.48815
6.05841	4.75097
6.15841	4.9225
6.25841	4.99693
6.35841	4.97175
6.45841	4.84782
6.55841	4.62931
6.65841	4.32362
6.75841	3.94103
6.85841	3.49431
6.95841	2.99828
7.05841	2.46923
7.15841	1.92429
7.25841	1.38078
7.35841	0.855615
7.45841	0.364618
7.55841	-0.0780237
7.65841	-0.460284
7.75841	-0.772716
7.85841	-1.00877
7.95841	-1.16501
8.05841	-1.24117
8.15841	-1.2401
8.25841	-1.16764
8.35841	-1.03228
8.45841	-0.844767
8.55841	-0.617669
8.65841	-0.364773
8.75841	-0.100515
8.85841	0.16065
8.95841	0.404856
9.05841	0.61942
9.15841	0.793371
9.25841	0.917916
9.35841	0.986809
