o	xo
-3.14159	1
-2.82743	0.715921
-2.51327	-2.57534e-16
-2.19911	-0.793604
-1.88496	-1.23607
-1.5708	-1
-1.25664	2.08349e-16
-0.942478	1.55754
-0.628319	3.23607
-0.314159	4.52015
0	5
0.314159	4.52015
0	5
0.314159	4.52015
0.628319	3.23607
0.942478	1.55754
1.25664	2.08349e-16
1.5708	-1
1.88496	-1.23607
2.19911	-0.793604
2.51327	-2.57534e-16
2.82743	0.715921
3.14159	1
3.45575	0.715921
3.76991	3.86301e-16
4.08407	-0.793604
4.39823	-1.23607
4.71239	-1
5.02655	-8.33397e-16
5.34071	1.55754
5.65487	3.23607
5.96903	4.52015
6.28319	5
6.59734	4.52015
6.9115	3.23607
7.22566	1.55754
7.53982	1.2501e-15
7.85398	-1
8.16814	-1.23607
8.4823	-0.793604
8.79646	-9.01369e-16
9.11062	0.715921
9.42478	1
