omega	X
-9.42478	1
-9.39336	0.990146
-9.36195	0.960768
-9.33053	0.912416
-9.29911	0.845997
-9.2677	0.762757
-9.23628	0.66426
-9.20487	0.552359
-9.17345	0.429163
-9.14203	0.297003
-9.11062	0.158384
-9.0792	0.0159447
-9.04779	-0.127593
-9.01637	-0.269472
-8.98495	-0.406949
-8.95354	-0.537345
-8.92212	-0.658099
-8.89071	-0.766809
-8.85929	-0.861279
-8.82788	-0.939563
-8.79646	-1
-8.76504	-1.04125
-8.73363	-1.06231
-8.70221	-1.06256
-8.6708	-1.04174
-8.63938	-1
-8.60796	-0.937878
-8.57655	-0.856295
-8.54513	-0.75655
-8.51372	-0.640298
-8.4823	-0.509525
-8.45088	-0.36652
-8.41947	-0.213831
-8.38805	-0.0542306
-8.35664	0.109334
-8.32522	0.273791
-8.2938	0.435997
-8.26239	0.592791
-8.23097	0.741049
-8.19956	0.877744
-8.16814	1
-8.13672	1.10514
-8.10531	1.19075
-8.07389	1.25472
-8.04248	1.29528
-8.01106	1.31103
-7.97965	1.30103
-7.94823	1.26474
-7.91681	1.20212
-7.8854	1.11357
-7.85398	1
-7.82257	0.862781
-7.79115	0.703755
-7.75973	0.525213
-7.72832	0.329864
-7.6969	0.120809
-7.66549	-0.0985067
-7.63407	-0.324334
-7.60265	-0.552674
-7.57124	-0.779337
-7.53982	-1
-7.50841	-1.21027
-7.47699	-1.40576
-7.44557	-1.58214
-7.41416	-1.73522
-7.38274	-1.861
-7.35133	-1.95576
-7.31991	-2.01609
-7.28849	-2.03898
-7.25708	-2.02185
-7.22566	-1.96261
-7.19425	-1.85969
-7.16283	-1.71208
-7.13142	-1.51937
-7.1	-1.28174
-7.06858	-1
-7.03717	-0.675559
-7.00575	-0.310444
-6.97434	0.0927288
-6.94292	0.530781
-6.9115	1
-6.88009	1.49619
-6.84867	2.0147
-6.81726	2.55052
-6.78584	3.09829
-6.75442	3.65242
-6.72301	4.20712
-6.69159	4.7565
-6.66018	5.29463
-6.62876	5.81563
-6.59734	6.31375
-6.56593	6.78343
-6.53451	7.21937
-6.5031	7.61665
-6.47168	7.97072
-6.44026	8.27754
-6.40885	8.53356
-6.37743	8.73584
-6.34602	8.88202
-6.3146	8.97042
-6.28319	9
-6.25177	8.97042
-6.22035	8.88202
-6.18894	8.73584
-6.15752	8.53356
-6.12611	8.27754
-6.09469	7.97072
-6.06327	7.61665
-6.03186	7.21937
-6.00044	6.78343
-5.96903	6.31375
-5.93761	5.81563
-5.90619	5.29463
-5.87478	4.7565
-5.84336	4.20712
-5.81195	3.65242
-5.78053	3.09829
-5.74911	2.55052
-5.7177	2.0147
-5.68628	1.49619
-5.65487	1
-5.62345	0.530781
-5.59203	0.0927288
-5.56062	-0.310444
-5.5292	-0.675559
-5.49779	-1
-5.46637	-1.28174
-5.43496	-1.51937
-5.40354	-1.71208
-5.37212	-1.85969
-5.34071	-1.96261
-5.30929	-2.02185
-5.27788	-2.03898
-5.24646	-2.01609
-5.21504	-1.95576
-5.18363	-1.861
