omega	X
-9.42478	1
-9.39336	0.973451
-9.36195	0.894978
-9.33053	0.768068
-9.29911	0.598384
-9.2677	0.393557
-9.23628	0.162903
-9.20487	-0.0829303
-9.17345	-0.332356
-9.14203	-0.57329
-9.11062	-0.793604
-9.0792	-0.98159
-9.04779	-1.12641
-9.01637	-1.2185
-8.98495	-1.24999
-8.95354	-1.21498
-8.92212	-1.10981
-8.89071	-0.933232
-8.85929	-0.6865
-8.82788	-0.373368
-8.79646	-1.6689e-15
-8.76504	0.425202
-8.73363	0.891854
-8.70221	1.38792
-8.6708	1.90009
-8.63938	2.41421
-8.60796	2.91579
-8.57655	3.39041
-8.54513	3.82427
-8.51372	4.2046
-8.4823	4.52015
-8.45088	4.76149
-8.41947	4.9214
-8.38805	4.99507
-8.35664	4.98028
-8.32522	4.87749
-8.2938	4.68978
-8.26239	4.42279
-8.23097	4.0845
-8.19956	3.68499
-8.16814	3.23607
-8.13672	2.75089
-8.10531	2.24351
-8.07389	1.72843
-8.04248	1.2201
-8.01106	0.73241
-7.97965	0.278312
-7.94823	-0.130674
-7.91681	-0.48479
-7.8854	-0.776358
-7.85398	-1
-7.82257	-1.15279
-7.79115	-1.23432
-7.75973	-1.24664
-7.72832	-1.19419
-7.6969	-1.08355
-7.66549	-0.923212
-7.63407	-0.723194
-7.60265	-0.494675
-7.57124	-0.249556
-7.53982	2.31781e-15
-7.50841	0.242023
-7.47699	0.465194
-7.44557	0.659265
-7.41416	0.815447
-7.38274	0.926736
-7.35133	0.988176
-7.31991	0.99704
-7.28849	0.952937
-7.25708	0.857821
-7.22566	0.715921
-7.19425	0.533585
-7.16283	0.31904
-7.13142	0.082088
-7.1	-0.166264
-7.06858	-0.414214
-7.03717	-0.649611
-7.00575	-0.860416
-6.97434	-1.03516
-6.94292	-1.16339
-6.9115	-1.23607
-6.88009	-1.24594
-6.84867	-1.18783
-6.81726	-1.05887
-6.78584	-0.858648
-6.75442	-0.589244
-6.72301	-0.255234
-6.69159	0.136449
-6.66018	0.576711
-6.62876	1.05458
-6.59734	1.55754
-6.56593	2.07196
-6.53451	2.58352
-6.5031	3.07769
-6.47168	3.54021
-6.44026	3.95758
-6.40885	4.31749
-6.37743	4.60924
-6.34602	4.82413
-6.3146	4.9557
-6.28319	5
-6.25177	4.9557
-6.22035	4.82413
-6.18894	4.60924
-6.15752	4.31749
-6.12611	3.95758
-6.09469	3.54021
-6.06327	3.07769
-6.03186	2.58352
-6.00044	2.07196
-5.96903	1.55754
-5.93761	1.05458
-5.90619	0.576711
-5.87478	0.136449
-5.84336	-0.255234
-5.81195	-0.589244
-5.78053	-0.858648
-5.74911	-1.05887
-5.7177	-1.18783
-5.68628	-1.24594
-5.65487	-1.23607
-5.62345	-1.16339
-5.59203	-1.03516
-5.56062	-0.860416
-5.5292	-0.649611
-5.49779	-0.414214
-5.46637	-0.166264
-5.43496	0.082088
-5.40354	0.31904
-5.37212	0.533585
-5.34071	0.715921
-5.30929	0.857821
