%% LaTeX2e file `sinomega.dat'
%% generated by the `filecontents' environment
%% from source `"g Signals and Systems Discrete Time Fourier Series"' on 2021/03/15.
%%
o reak akmag imak argak
-11 -0.5 0 0 0
-10 0 0 0 0
-9 0.5 0 0 0
-8 0 0 0 0
-7 0 0 0 0
-6 -0.5 0 0 0
-5 0 0 0 0
-4 0.5 0 0 0
-3 0 0 0 0
-2 0 0.5 -0.5 -1.57
-1 -0.5 1.581 0.5 0.32
0  0 1 0 0
1 0.5 1.581 -0.5 -0.32
2 0 0.5 0.5 1.57
3 0 0 0 0
4 -0.5 0 0 0
5 0 0 0 0
6 0.5 0 0 0
7 0 0 0 0
8 0 0.5 -0.5 -1.57
9 -0.5 0 0 0
10  0 0 0 0
11 0.5 0 0 0
